,Section,Paragraph,algo_score_raw
0,abstract,0,0.7988826036453247
1,abstract,0,0.7988826036453247
2,abstract,0,0.7988826036453247
3,abstract,0,0.7988826036453247
4,abstract,0,0.7988826036453247
5,abstract,0,0.7988826036453247
6,abstract,0,0.7988826036453247
7,abstract,0,0.7988826036453247
8,abstract,0,0.7988826036453247
9,abstract,0,0.7988826036453247
10,abstract,0,0.7988826036453247
11,abstract,0,0.7988826036453247
12,abstract,0,0.7988826036453247
13,abstract,0,0.7988826036453247
14,abstract,0,0.7988826036453247
15,abstract,0,0.7988826036453247
16,abstract,0,0.7988826036453247
17,introduction,0,0.5826761722564697
18,introduction,1,0.28442659974098206
19,introduction,2,0.2561177611351013
20,introduction,0,0.5826761722564697
21,introduction,1,0.28442659974098206
22,introduction,2,0.2561177611351013
23,introduction,0,0.5826761722564697
24,introduction,1,0.28442659974098206
25,introduction,2,0.2561177611351013
26,introduction,0,0.5826761722564697
27,introduction,1,0.28442659974098206
28,introduction,2,0.2561177611351013
29,introduction,0,0.5826761722564697
30,introduction,1,0.28442659974098206
31,introduction,2,0.2561177611351013
32,introduction,0,0.5826761722564697
33,introduction,1,0.28442659974098206
34,related_work,0,0.00609348202124238
35,related_work,1,0.10252793878316879
36,related_work,2,0.23163968324661255
37,related_work,3,0.4569716453552246
38,related_work,4,0.0742141455411911
39,related_work,5,0.4560714662075043
40,related_work,6,0.05984387546777725
41,related_work,7,0.1829649657011032
42,related_work,8,0.9869491457939148
43,related_work,9,0.319071501493454
44,related_work,10,0.36830899119377136
45,related_work,11,0.3633889853954315
46,related_work,0,0.00609348202124238
47,related_work,1,0.10252793878316879
48,related_work,2,0.23163968324661255
49,related_work,3,0.4569716453552246
50,related_work,4,0.0742141455411911
51,experimental_setup,0,0.1871415674686432
52,experimental_setup,1,0.6272599697113037
53,experimental_setup,2,0.554075300693512
54,experimental_setup,3,0.716101348400116
55,experimental_setup,4,0.10448838770389557
56,experimental_setup,5,0.04028194770216942
57,experimental_setup,6,0.36429041624069214
58,experimental_setup,7,0.018286436796188354
59,experimental_setup,8,0.28898701071739197
60,experimental_setup,9,0.2198602855205536
61,experimental_setup,10,0.4880409240722656
62,experimental_setup,11,0.6184445023536682
63,experimental_setup,12,0.08267531543970108
64,experimental_setup,13,0.04510205611586571
65,experimental_setup,14,0.1837480515241623
66,experimental_setup,15,0.350084513425827
67,experimental_setup,0,0.1871415674686432
68,results,0,0.3140147030353546
69,results,1,0.12554161250591278
70,results,2,0.07574757933616638
71,results,3,0.29665204882621765
72,results,4,0.0292133130133152
73,results,5,0.023088200017809868
74,results,6,0.6464511752128601
75,results,7,0.12383705377578735
76,results,8,0.42822596430778503
77,results,9,0.24120409786701202
78,results,10,0.3201112151145935
79,results,11,0.2233915776014328
80,results,12,0.46030399203300476
81,results,13,0.32566037774086
82,results,14,0.3103923201560974
83,results,15,0.051542069762945175
84,results,16,0.5159100890159607
85,discussion,0,0.35552746057510376
86,discussion,1,0.763041079044342
87,discussion,2,0.364092618227005
88,discussion,3,0.3611033856868744
89,discussion,4,0.8333350419998169
90,discussion,0,0.35552746057510376
91,discussion,1,0.763041079044342
92,discussion,2,0.364092618227005
93,discussion,3,0.3611033856868744
94,discussion,4,0.8333350419998169
95,discussion,0,0.35552746057510376
96,discussion,1,0.763041079044342
97,discussion,2,0.364092618227005
98,discussion,3,0.3611033856868744
99,discussion,4,0.8333350419998169
100,discussion,0,0.35552746057510376
101,discussion,1,0.763041079044342
102,limitations,0,0.89604252576828
103,limitations,1,0.22531501948833466
104,limitations,2,0.5974335670471191
105,limitations,3,0.18763765692710876
106,limitations,0,0.89604252576828
107,limitations,1,0.22531501948833466
108,limitations,2,0.5974335670471191
109,limitations,3,0.18763765692710876
110,limitations,0,0.89604252576828
111,limitations,1,0.22531501948833466
112,limitations,2,0.5974335670471191
113,limitations,3,0.18763765692710876
114,limitations,0,0.89604252576828
115,limitations,1,0.22531501948833466
116,limitations,2,0.5974335670471191
117,limitations,3,0.18763765692710876
118,limitations,0,0.89604252576828
119,summary,0,0.2058217078447342
120,summary,1,0.7499388456344604
121,summary,2,0.4900148808956146
122,summary,3,0.016050562262535095
123,summary,4,0.22705088555812836
124,summary,5,0.2594262659549713
125,summary,6,0.06633125990629196
126,summary,0,0.2058217078447342
127,summary,1,0.7499388456344604
128,summary,2,0.4900148808956146
129,summary,3,0.016050562262535095
130,summary,4,0.22705088555812836
131,summary,5,0.2594262659549713
132,summary,6,0.06633125990629196
133,summary,0,0.2058217078447342
134,summary,1,0.7499388456344604
135,summary,2,0.4900148808956146
136,conclusion,0,0.39395973086357117
137,conclusion,1,0.8381071090698242
138,conclusion,2,0.33994466066360474
139,conclusion,3,0.0595373697578907
140,conclusion,0,0.39395973086357117
141,conclusion,1,0.8381071090698242
142,conclusion,2,0.33994466066360474
143,conclusion,3,0.0595373697578907
144,conclusion,0,0.39395973086357117
145,conclusion,1,0.8381071090698242
146,conclusion,2,0.33994466066360474
147,conclusion,3,0.0595373697578907
148,conclusion,0,0.39395973086357117
149,conclusion,1,0.8381071090698242
150,conclusion,2,0.33994466066360474
151,conclusion,3,0.0595373697578907
152,conclusion,0,0.39395973086357117
