,Section,Paragraph,algo_score_raw
0,abstract,0,0.640873372554779
1,abstract,0,0.640873372554779
2,abstract,0,0.640873372554779
3,abstract,0,0.640873372554779
4,abstract,0,0.640873372554779
5,abstract,0,0.640873372554779
6,abstract,0,0.640873372554779
7,abstract,0,0.640873372554779
8,abstract,0,0.640873372554779
9,abstract,0,0.640873372554779
10,abstract,0,0.640873372554779
11,abstract,0,0.640873372554779
12,abstract,0,0.640873372554779
13,abstract,0,0.640873372554779
14,abstract,0,0.640873372554779
15,abstract,0,0.640873372554779
16,abstract,0,0.640873372554779
17,abstract,0,0.640873372554779
18,abstract,0,0.640873372554779
19,abstract,0,0.640873372554779
20,abstract,0,0.640873372554779
21,introduction,0,0.01974833570420742
22,introduction,1,0.894374668598175
23,introduction,2,0.9932135343551636
24,introduction,3,0.027140574529767036
25,introduction,0,0.01974833570420742
26,introduction,1,0.894374668598175
27,introduction,2,0.9932135343551636
28,introduction,3,0.027140574529767036
29,introduction,0,0.01974833570420742
30,introduction,1,0.894374668598175
31,introduction,2,0.9932135343551636
32,introduction,3,0.027140574529767036
33,introduction,0,0.01974833570420742
34,introduction,1,0.894374668598175
35,introduction,2,0.9932135343551636
36,introduction,3,0.027140574529767036
37,introduction,0,0.01974833570420742
38,introduction,1,0.894374668598175
39,introduction,2,0.9932135343551636
40,introduction,3,0.027140574529767036
41,introduction,0,0.01974833570420742
42,terms_of_reference,0,0.5622477531433105
43,terms_of_reference,1,0.034954920411109924
44,terms_of_reference,2,0.9148229956626892
45,terms_of_reference,3,0.00318106054328382
46,terms_of_reference,4,0.01077140960842371
47,terms_of_reference,5,0.012438851408660412
48,terms_of_reference,6,0.01923278719186783
49,terms_of_reference,7,0.008526680991053581
50,terms_of_reference,8,0.07878731936216354
51,terms_of_reference,9,0.02049422822892666
52,terms_of_reference,10,0.8757501840591431
53,terms_of_reference,11,0.11418948322534561
54,terms_of_reference,12,0.9414272308349609
55,terms_of_reference,13,0.7661800384521484
56,terms_of_reference,14,0.04371609911322594
57,terms_of_reference,15,0.9453586339950562
58,terms_of_reference,16,0.9279643893241882
59,terms_of_reference,17,0.906274139881134
60,terms_of_reference,18,0.8246686458587646
61,terms_of_reference,19,0.7351160049438477
62,terms_of_reference,20,0.12851892411708832
63,joining_the_dots,0,0.011362195014953613
64,joining_the_dots,1,0.8602537512779236
65,joining_the_dots,2,0.021610939875245094
66,joining_the_dots,3,0.3938416838645935
67,joining_the_dots,4,0.2865898907184601
68,joining_the_dots,5,0.006516300607472658
69,joining_the_dots,6,0.21548591554164886
70,joining_the_dots,7,0.26472756266593933
71,joining_the_dots,8,0.7696115970611572
72,joining_the_dots,9,0.816209614276886
73,joining_the_dots,10,0.6720603108406067
74,joining_the_dots,0,0.011362195014953613
75,joining_the_dots,1,0.8602537512779236
76,joining_the_dots,2,0.021610939875245094
77,joining_the_dots,3,0.3938416838645935
78,joining_the_dots,4,0.2865898907184601
79,joining_the_dots,5,0.006516300607472658
80,joining_the_dots,6,0.21548591554164886
81,joining_the_dots,7,0.26472756266593933
82,joining_the_dots,8,0.7696115970611572
83,joining_the_dots,9,0.816209614276886
84,coloring_between_the_dots,0,0.006580508314073086
85,coloring_between_the_dots,1,0.9811741709709167
86,coloring_between_the_dots,2,0.8744215965270996
87,coloring_between_the_dots,3,0.9352381229400635
88,coloring_between_the_dots,4,0.4673474431037903
89,coloring_between_the_dots,5,0.7265630960464478
90,coloring_between_the_dots,6,0.12751974165439606
91,coloring_between_the_dots,7,0.789445161819458
92,coloring_between_the_dots,8,0.8441962599754333
93,coloring_between_the_dots,9,0.10219595581293106
94,coloring_between_the_dots,10,0.00022548739798367023
95,coloring_between_the_dots,0,0.006580508314073086
96,coloring_between_the_dots,1,0.9811741709709167
97,coloring_between_the_dots,2,0.8744215965270996
98,coloring_between_the_dots,3,0.9352381229400635
99,coloring_between_the_dots,4,0.4673474431037903
100,coloring_between_the_dots,5,0.7265630960464478
101,coloring_between_the_dots,6,0.12751974165439606
102,coloring_between_the_dots,7,0.789445161819458
103,coloring_between_the_dots,8,0.8441962599754333
104,coloring_between_the_dots,9,0.10219595581293106
105,conclusion,0,0.7787104845046997
106,conclusion,1,0.6238954067230225
107,conclusion,2,0.002865033457055688
108,conclusion,3,0.20132634043693542
109,conclusion,0,0.7787104845046997
110,conclusion,1,0.6238954067230225
111,conclusion,2,0.002865033457055688
112,conclusion,3,0.20132634043693542
113,conclusion,0,0.7787104845046997
114,conclusion,1,0.6238954067230225
115,conclusion,2,0.002865033457055688
116,conclusion,3,0.20132634043693542
117,conclusion,0,0.7787104845046997
118,conclusion,1,0.6238954067230225
119,conclusion,2,0.002865033457055688
120,conclusion,3,0.20132634043693542
121,conclusion,0,0.7787104845046997
122,conclusion,1,0.6238954067230225
123,conclusion,2,0.002865033457055688
124,conclusion,3,0.20132634043693542
125,conclusion,0,0.7787104845046997
